Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
272	1	0.32	17	60	47	17	60	47
271	1	0.32	49	55	47	49	55	47
270	1	0.331	14	42	47	14	42	47
269	1	0.327	63	35	47	63	35	47
268	1	0.324	52	30	47	52	30	47
267	1	0.327	29	85	46	29	85	46
266	1	0.324	19	81	46	19	81	46
265	1	0.327	51	65	46	51	65	46
264	1	0.363	20	58	46	20	58	46
263	1	0.338	44	56	46	44	56	46
262	1	0.338	66	43	46	66	43	46
261	1	0.324	16	41	46	16	41	46
260	1	0.324	25	25	46	25	25	46
259	1	0.32	34	95	45	34	95	45
258	1	0.32	24	71	45	24	71	45
257	1	0.335	26	65	45	26	65	45
256	1	0.32	54	64	45	54	64	45
255	1	0.327	43	58	45	43	58	45
254	1	0.32	35	51	45	35	51	45
253	1	0.324	66	30	45	66	30	45
252	1	0.32	54	27	45	54	27	45
251	1	0.327	55	93	44	55	93	44
250	1	0.32	68	87	44	68	87	44
249	1	0.32	45	86	44	45	86	44
248	1	0.32	36	75	44	36	75	44
247	1	0.324	27	67	44	27	67	44
246	1	0.32	52	66	44	52	66	44
245	1	0.327	56	65	44	56	65	44
244	1	0.327	26	54	44	26	54	44
243	1	0.324	45	52	44	45	52	44
242	1	0.331	56	31	44	56	31	44
241	1	0.327	37	91	43	37	91	43
240	1	0.324	39	73	43	39	73	43
239	1	0.335	59	65	43	59	65	43
238	1	0.324	34	62	43	34	62	43
237	1	0.327	40	58	43	40	58	43
236	1	0.342	54	52	43	54	52	43
235	1	0.32	47	48	43	47	48	43
234	1	0.345	31	38	43	31	38	43
233	1	0.32	16	30	43	16	30	43
232	1	0.32	74	29	43	74	29	43
231	1	0.32	29	23	43	29	23	43
230	1	0.32	59	14	43	59	14	43
229	1	0.338	53	87	42	53	87	42
228	1	0.32	48	87	42	48	87	42
227	1	0.32	30	83	42	30	83	42
226	1	0.32	74	74	42	74	74	42
225	1	0.32	28	67	42	28	67	42
224	1	0.32	41	64	42	41	64	42
223	1	0.327	24	61	42	24	61	42
222	1	0.342	63	53	42	63	53	42
221	1	0.331	66	41	42	66	41	42
220	1	0.331	30	35	42	30	35	42
219	1	0.327	51	18	42	51	18	42
218	1	0.324	37	88	41	37	88	41
217	1	0.324	60	71	41	60	71	41
216	1	0.32	28	69	41	28	69	41
215	1	0.32	13	61	41	13	61	41
214	1	0.324	38	38	41	38	38	41
213	1	0.324	42	14	41	42	14	41
212	1	0.32	61	67	40	61	67	40
211	1	0.324	54	29	40	54	29	40
210	1	0.327	16	29	40	16	29	40
209	1	0.324	49	82	39	49	82	39
208	1	0.324	62	76	39	62	76	39
207	1	0.32	49	74	39	49	74	39
206	1	0.335	77	65	39	77	65	39
205	1	0.327	50	64	39	50	64	39
204	1	0.327	27	59	39	27	59	39
203	1	0.338	40	18	39	40	18	39
202	1	0.327	62	92	38	62	92	38
201	1	0.331	63	80	38	63	80	38
200	1	0.327	60	79	38	60	79	38
199	1	0.345	44	72	38	44	72	38
198	1	0.324	26	33	38	26	33	38
197	1	0.327	15	30	38	15	30	38
196	1	0.32	63	20	38	63	20	38
195	1	0.331	45	94	37	45	94	37
194	1	0.324	61	77	37	61	77	37
193	1	0.32	55	70	37	55	70	37
192	1	0.345	60	62	37	60	62	37
191	1	0.324	66	57	37	66	57	37
190	1	0.324	27	75	36	27	75	36
189	1	0.32	16	53	36	16	53	36
188	1	0.327	38	11	36	38	11	36
187	1	0.331	41	87	35	41	87	35
186	1	0.324	39	74	35	39	74	35
185	1	0.32	21	56	35	21	56	35
184	1	0.324	72	38	35	72	38	35
183	1	0.32	43	36	35	43	36	35
182	1	0.32	21	36	35	21	36	35
181	1	0.32	40	82	34	40	82	34
180	1	0.327	69	80	34	69	80	34
179	1	0.335	26	56	34	26	56	34
178	1	0.327	58	49	34	58	49	34
177	1	0.32	18	49	34	18	49	34
176	1	0.324	69	36	34	69	36	34
175	1	0.32	42	27	34	42	27	34
174	1	0.327	65	73	33	65	73	33
173	1	0.324	13	66	33	13	66	33
172	1	0.32	61	59	33	61	59	33
171	1	0.324	67	50	33	67	50	33
170	1	0.327	29	49	33	29	49	33
169	1	0.32	26	48	33	26	48	33
168	1	0.327	17	35	33	17	35	33
167	1	0.32	57	94	32	57	94	32
166	1	0.324	46	87	32	46	87	32
165	1	0.32	22	59	32	22	59	32
164	1	0.32	74	49	32	74	49	32
163	1	0.338	35	43	32	35	43	32
162	1	0.32	33	41	32	33	41	32
161	1	0.324	68	35	32	68	35	32
160	1	0.324	75	31	32	75	31	32
159	1	0.335	47	31	32	47	31	32
158	1	0.32	49	29	32	49	29	32
157	1	0.32	63	18	32	63	18	32
156	1	0.331	57	96	31	57	96	31
155	1	0.32	61	87	31	61	87	31
154	1	0.324	22	72	31	22	72	31
153	1	0.331	62	60	31	62	60	31
152	1	0.324	36	60	31	36	60	31
151	1	0.324	25	56	31	25	56	31
150	1	0.32	68	53	31	68	53	31
149	1	0.32	64	52	31	64	52	31
148	1	0.324	34	46	31	34	46	31
147	1	0.324	17	41	31	17	41	31
146	1	0.324	52	36	31	52	36	31
145	1	0.331	18	35	31	18	35	31
144	1	0.324	43	28	31	43	28	31
143	1	0.327	44	16	31	44	16	31
142	1	0.32	56	94	30	56	94	30
141	1	0.32	30	91	30	30	91	30
140	1	0.32	27	83	30	27	83	30
139	1	0.327	22	59	30	22	59	30
138	1	0.32	37	48	30	37	48	30
137	1	0.331	68	44	30	68	44	30
136	1	0.32	40	32	30	40	32	30
135	1	0.32	63	29	30	63	29	30
134	1	0.327	31	94	29	31	94	29
133	1	0.32	36	60	29	36	60	29
132	1	0.324	44	58	29	44	58	29
131	1	0.324	39	53	29	39	53	29
130	1	0.324	39	48	29	39	48	29
129	1	0.324	15	33	29	15	33	29
128	1	0.32	69	31	29	69	31	29
127	1	0.32	56	95	28	56	95	28
126	1	0.327	59	75	28	59	75	28
125	1	0.32	35	75	28	35	75	28
124	1	0.327	47	71	28	47	71	28
123	1	0.338	44	65	28	44	65	28
